	HDRR	HNI	HSOK	MIKK	HDRR+	HNI+	HSOK+
4-1	350757.34734702844	13679.54007290837	5114.985132028311	8521.62849378109	0.5197619670833166	33.72223484343554	4.197783423404984
4-2	334822.61694930407	13059.157617251436	5633.643348077545	24447.519360057595	39.097602300368145	33.08187161555768	4.892075909213893
7-1							
7-2							
11-1	339588.03544844355	12561.071281568013	8493.107701545789	26193.49859512717	21.13274446067024	32.96475768937888	5.049522238206606
69-1	300248.69012175006	8624.324560282052	1766.4428268769527	15143.416778024843	1.7894868970547022	44.7130964760194	5.26332926062523
79-2	359901.4834930114	13693.292836780176	916.3495309858129	6137.611568182857	6.258409068816338	38.03403656580641	3.16334383024562
80-1	337180.54647583613	12341.162628759865	1312.4150716140207	13597.891975297618	0.8846123833121621	24.743665390168328	3.176273785516222
117-2	340388.84681311925	10756.270400219904	6765.587918178064	6031.666021707675	1.2959190772917262	33.411074224449884	5.012776330244653
131-1							
134-1	334686.9217425434	12666.399134928379	3944.8800364915473	16716.113217185426	8.000795798238046	43.60118319044661	3.993610521268995
134-2							
