	12 sample contig	10 sample contig	8 sample contig	6 sample contig	4 sample contig	2 sample contig	1 sample contig
4-1	54276.520751752105	19615.649069368843	9377.055113869152	6446.212951091171	4723.875833222616	3755.4391776613775	1093.761683749988
4-2	53601.301182036805	19911.325354828507	9479.507001497761	6384.346505929625	4695.181524675074	3634.113790942137	1210.9315773243682
7-1	54184.135557078414	20043.965228285873	9218.921087153065	6282.930923974239	4732.076135888224	3603.471618228525	1075.4581063703388
7-2	53880.64828198205	20005.31222747226	9263.930887792776	6249.842581897213	4659.674514153732	3577.6505044086052	1071.0268907668778
11-1	53320.00305477197	19457.18432842253	9153.895560580628	6302.260728001372	4621.733274270385	3606.5700258542984	1386.5291321131385
69-1	53829.95683140467	19673.590453853445	9326.108655948665	6510.776399328467	4739.753195407523	3802.217200431941	1376.3016485639632
79-2	53448.66226805618	19040.418878516306	9062.996201425518	6297.926353097359	4577.885000045099	3674.84533794536	1364.906347670262
80-1	53162.79299059574	19052.607078278954	9078.472218233052	6279.821273104798	4690.278682847302	3743.690054772818	1363.0226623470542
117-2	53587.68647925541	19587.082815714417	9230.10438722565	6285.988426412179	4541.805046183929	3490.5262265648607	1393.2142723741138
131-1	50712.84767503815	16598.50127020521	8698.715734418207	6497.111532006787	5538.115337302498	8228.242471741754	19248.542528168957
134-1	53396.93093915319	19294.65965434104	9127.023414078272	6238.051549028885	4471.693974414263	3421.135904752098	1419.2364624459688
134-2	53420.783129893854	19705.887916277155	9152.49939326415	6294.321944994106	4490.082857629608	3308.3320236047985	1113.7705403189743
