	HDRR	HNI	HSOK	MIKK	HDRR+	HNI+	HSOK+
4-1	609663.1625919916	20040.168962112046	5736.836096495184	79913.35071249057	39.88906524545887	423.95656401390545	81.50845591850107
4-2	610073.1038347266	19991.825388772384	5732.076753271922	80892.81038233782	9.349842455067373	431.86421625642674	91.5365512788121
7-1	609353.3037670405	19866.07730768471	5615.397733126962	79685.46579430462	42.077513985024005	411.8644945119004	86.9229305950331
7-2	612258.4155040424	19909.144692349055	5665.971964565319	79473.10406654136	44.463597899279776	402.80211845658414	86.7484264833554
11-1	604560.9535245794	19859.270634259974	5616.56666836308	80149.36321194132	22.508424782715306	422.2016346145724	84.83586119952555
69-1	616057.3055594832	20027.264295409783	5780.22883363545	78901.39610028562	9.408809614887717	421.64131451870435	82.01079327335741
79-2	609868.8947422636	19946.486978697398	5606.03947145407	78514.01154074172	31.75530844162632	425.3721197307172	89.29640314555478
80-1	600773.1012277111	19794.692675697985	5594.466030926098	82384.84075520562	19.26572774533392	424.7597999868198	81.64503223133535
117-2	614147.9136436566	19912.95263416438	5765.79816866963	79320.38610977589	12.858385829986196	404.320661514569	89.73948793598773
131-1	595329.8889072589	47360.641116567065	5795.387205173197	74486.75665206269	10.734706536857034	883.5277702881783	105.13481716854959
134-1	609197.848214578	19895.481655970954	5726.545093864462	78920.47515799441	48.078305834974834	417.5928671365005	78.47191747553387
134-2	611554.636138607	19891.553753485634	5760.406823468454	78389.13744744478	33.32642001516637	425.90971274512265	84.02278961688853
